rank,agent,local_bt_relative
1,prvsiyan_frontier,2422.6667882751367
2,reacting_market_smart_public_refresh,1047.9151201187797
3,reacting_evgen_v226_public_refresh,900.1827559486878
4,reacting_aurax7_v2_public_refresh,816.5120183704972
5,sub-009-moev2,545.286393132011
6,_extract_submission_tar_2,325.5777305984281
7,_extract_submission_tar_4,199.96018557697315
8,_extract_submission_tar_3,-1458.1013691977093
9,_extract_submission_tar,-4799.999622822804
